"Date","Total sales","Total orders","Avg. order value","Gross sales","Discount","Shipping","Tax","Tips","Additional fees","Gift card","Refunds"
"31/01/2026","£739.87","13","£56.91","£769.87","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"30/01/2026","£1,109.80","20","£55.49","£1,109.80","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"29/01/2026","£614.88","12","£51.24","£689.88","£75.00","£0.00","£0.00","£0.00","£0.00","£0.00","£59.99"
"28/01/2026","£984.82","18","£54.71","£999.82","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"27/01/2026","£764.86","14","£54.63","£779.86","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£99.98"
"26/01/2026","£844.84","16","£52.80","£889.84","£45.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"25/01/2026","£839.84","16","£52.49","£869.84","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"24/01/2026","£654.88","12","£54.57","£669.88","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"23/01/2026","£734.86","14","£52.49","£809.86","£75.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"22/01/2026","£444.91","9","£49.43","£519.91","£75.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"21/01/2026","£724.87","13","£55.76","£739.87","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"20/01/2026","£529.90","10","£52.99","£559.90","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"19/01/2026","£549.90","10","£54.99","£579.90","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"18/01/2026","£889.83","17","£52.34","£949.83","£60.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"17/01/2026","£289.95","5","£57.99","£289.95","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"16/01/2026","£644.88","12","£53.74","£659.88","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"15/01/2026","£729.87","13","£56.14","£729.87","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£29.99"
"14/01/2026","£399.93","7","£57.13","£399.93","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"13/01/2026","£414.92","8","£51.87","£459.92","£45.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"12/01/2026","£924.83","17","£54.40","£939.83","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"11/01/2026","£844.84","16","£52.80","£889.84","£45.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"10/01/2026","£469.91","9","£52.21","£499.91","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"09/01/2026","£1,244.77","23","£54.12","£1,259.77","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"08/01/2026","£1,549.71","29","£53.44","£1,579.71","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"07/01/2026","£369.93","7","£52.85","£399.93","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"06/01/2026","£924.82","18","£51.38","£969.82","£45.00","£0.00","£0.00","£0.00","£0.00","£0.00","£49.99"
"05/01/2026","£1,024.81","19","£53.94","£1,099.81","£75.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"04/01/2026","£874.84","16","£54.68","£889.84","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"03/01/2026","£804.85","15","£53.66","£849.85","£45.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"02/01/2026","£1,074.81","19","£56.57","£1,089.81","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"01/01/2026","£1,754.68","32","£54.83","£1,829.68","£75.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"31/12/2025","£709.87","13","£54.61","£769.87","£60.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"30/12/2025","£859.84","16","£53.74","£889.84","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"29/12/2025","£329.94","6","£54.99","£329.94","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"28/12/2025","£899.83","17","£52.93","£899.83","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£38.00"
"27/12/2025","£819.85","15","£54.66","£819.85","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£119.98"
"26/12/2025","£539.90","10","£53.99","£539.90","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"25/12/2025","£784.85","15","£52.32","£799.85","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"24/12/2025","£594.89","11","£54.08","£609.89","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"23/12/2025","£409.93","7","£58.56","£409.93","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"22/12/2025","£479.91","9","£53.32","£479.91","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"21/12/2025","£589.89","11","£53.63","£589.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"20/12/2025","£404.92","8","£50.62","£419.92","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£49.99"
"19/12/2025","£444.92","8","£55.62","£459.92","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"18/12/2025","£569.89","11","£51.81","£599.89","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£38.00"
"17/12/2025","£529.91","9","£58.88","£529.91","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£59.99"
"16/12/2025","£589.89","11","£53.63","£589.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"15/12/2025","£509.90","10","£50.99","£509.90","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"14/12/2025","£279.95","5","£55.99","£279.95","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"13/12/2025","£379.93","7","£54.28","£379.93","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"12/12/2025","£659.88","12","£54.99","£659.88","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"11/12/2025","£599.89","11","£54.54","£599.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"10/12/2025","£479.91","9","£53.32","£479.91","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£49.99"
"09/12/2025","£989.81","19","£52.10","£989.81","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£59.99"
"08/12/2025","£949.82","18","£52.77","£949.82","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£49.99"
"07/12/2025","£339.94","6","£56.66","£339.94","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"06/12/2025","£499.90","10","£49.99","£499.90","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£49.99"
"05/12/2025","£439.92","8","£54.99","£439.92","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"04/12/2025","£589.89","11","£53.63","£589.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"03/12/2025","£559.90","10","£55.99","£559.90","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"02/12/2025","£839.85","15","£55.99","£839.85","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"01/12/2025","£1,579.72","28","£56.42","£1,579.72","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"30/11/2025","£559.89","11","£50.90","£559.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"29/11/2025","£619.89","11","£56.35","£619.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"28/11/2025","£834.84","16","£52.18","£849.84","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"27/11/2025","£859.84","16","£53.74","£859.84","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"26/11/2025","£539.90","10","£53.99","£539.90","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"25/11/2025","£679.87","13","£52.30","£679.87","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"24/11/2025","£319.94","6","£53.32","£319.94","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"23/11/2025","£159.97","3","£53.32","£159.97","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"22/11/2025","£199.96","4","£49.99","£199.96","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"21/11/2025","£559.89","11","£50.90","£589.89","£30.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"20/11/2025","£479.91","9","£53.32","£479.91","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"19/11/2025","£339.94","6","£56.66","£339.94","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"18/11/2025","£309.94","6","£51.66","£309.94","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"17/11/2025","£279.95","5","£55.99","£279.95","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"16/11/2025","£569.89","11","£51.81","£569.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"15/11/2025","£559.89","11","£50.90","£559.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£59.99"
"14/11/2025","£209.96","4","£52.49","£209.96","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"13/11/2025","£309.94","6","£51.66","£309.94","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"12/11/2025","£539.90","10","£53.99","£539.90","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"11/11/2025","£589.89","11","£53.63","£589.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"10/11/2025","£399.92","8","£49.99","£399.92","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"09/11/2025","£999.81","19","£52.62","£999.81","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"08/11/2025","£1,139.78","22","£51.81","£1,139.78","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£109.98"
"07/11/2025","£549.90","10","£54.99","£549.90","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"06/11/2025","£509.90","10","£50.99","£509.90","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"05/11/2025","£659.88","12","£54.99","£659.88","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"04/11/2025","£479.91","9","£53.32","£479.91","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"03/11/2025","£599.89","11","£54.54","£599.89","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£59.99"
"02/11/2025","£914.83","17","£53.81","£929.83","£15.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
"01/11/2025","£1,279.77","23","£55.64","£1,279.77","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00","£0.00"
